graph,order,size,bytes,source_offsets,destination_indices,block_bits,index_bits,effective_bits,technique
"germany_osm","11548845","24738362","119124240","11548846","18232214","8","24","27","csrHybrid32-8block"
"germany_osm","11548845","24738362","4","1","0","16","16","20","csrHybrid32-16block"
"germany_osm","11548845","24738362","209700592","11548846","20438151","4","60","62","csrHybrid64-4block"
"germany_osm","11548845","24738362","192053096","11548846","18232214","8","56","59","csrHybrid64-8block"
"germany_osm","11548845","24738362","182091520","11548846","16987017","16","48","52","csrHybrid64-16block"
"germany_osm","11548845","24738362","176171304","11548846","16246990","32","32","37","csrHybrid64-32block"
"asia_osm","11950757","25423206","149495856","11950758","25423206","0","0","0","csrRegular32"
"asia_osm","11950757","25423206","298991712","11950758","25423206","0","0","0","csrRegular64"
"asia_osm","11950757","25423206","129113856","11950758","20327706","4","28","30","csrHybrid32-4block"
"asia_osm","11950757","25423206","118836148","11950758","17758279","8","24","27","csrHybrid32-8block"
"asia_osm","11950757","25423206","4","1","0","16","16","20","csrHybrid32-16block"
"asia_osm","11950757","25423206","210424680","11950758","20327706","4","60","62","csrHybrid64-4block"
"asia_osm","11950757","25423206","189869264","11950758","17758279","8","56","59","csrHybrid64-8block"
"asia_osm","11950757","25423206","178640648","11950758","16354702","16","48","52","csrHybrid64-16block"
"asia_osm","11950757","25423206","171998816","11950758","15524473","32","32","37","csrHybrid64-32block"
